                time                norm            position               width      analytic_width
   2.7500000409781933        9.8999999999977213        2.1681940754592683E-014   2.4897528635568440        2.7950850121919486     
   2.8000000417232513        9.8999999999976946        2.0459223540919108E-014   2.5130736740589357        2.8442925717390972     
   2.8500000424683094        9.8999999999976662        1.8503016178716173E-014   2.5353344239916242        2.8935273010755171     
   2.9000000432133675        9.8999999999976644        1.7468490178497035E-014   2.5565563897468491        2.9427878364974824     
   2.9500000439584255        9.8999999999976431        1.5911444440362368E-014   2.5767616687113448        2.9920729034157429     
   3.0000000447034836        9.8999999999976342        1.5589031188261564E-014   2.5959727204292076        3.0413813092443545     
   3.0500000454485416        9.8999999999976289        1.3949980340353399E-014   2.6142122835361969        3.0907119369549965     
   3.1000000461935997        9.8999999999976147        1.2586032104292133E-014   2.6315038978653518        3.1400637392257376     
   3.1500000469386578        9.8999999999976076        1.1912819215938152E-014   2.6478730604123393        3.1894357331216985     
   3.2000000476837158        9.8999999999975952        1.1348946473948802E-014   2.6633486923369802        3.2388269952524142     
   3.2500000484287739        9.8999999999975898        1.0447240715627714E-014   2.6779642365550780        3.2882366573571056     
   3.3000000491738319        9.8999999999975792        9.8938814492503418E-015   2.6917575579883124        3.3376639022746573     
   3.3500000499188900        9.8999999999975650        8.5751411583205930E-015   2.7047690498772523        3.3871079602599865     
   3.4000000506639481        9.8999999999975543        8.2404621846724691E-015   2.7170379573620638        3.4365681056127566     
   3.4500000514090061        9.8999999999975472        8.6795750160663086E-015   2.7285977011140008        3.4860436535881396     
   3.5000000521540642        9.8999999999975294        7.0044279018903226E-015   2.7394715837242063        3.5355339575626270     
   3.5500000528991222        9.8999999999975152        7.8914147943546551E-015   2.7496704021340319        3.5850384064307836     
   3.6000000536441803        9.8999999999975081        7.4442416316583049E-015   2.7591930797157609        3.6345564222113955     
   3.6500000543892384        9.8999999999974957        8.5145134489582158E-015   2.7680306158212433        3.6840874578437255     
   3.7000000551342964        9.8999999999974904        9.8020637622391098E-015   2.7761727235678912        3.7336309951565645     
   3.7500000558793545        9.8999999999974690        9.9219173842157411E-015   2.7836157916690345        3.7831865429945641     
   3.8000000566244125        9.8999999999974690        1.0225406380214993E-014   2.7903704594516840        3.8327536354878768     
   3.8500000573694706        9.8999999999974602        1.1662248047186061E-014   2.7964671823508280        3.8823318304525345     
   3.9000000581145287        9.8999999999974566        1.2404499425392089E-014   2.8019586087328978        3.9319207079102356     
   3.9500000588595867        9.8999999999974566        1.3308307878835590E-014   2.8069182381381776        3.9815198687173141     
   4.0000000596046448        9.8999999999974548        1.4574831240892520E-014   2.8114355216753633        4.0311289332936449     
   4.0500000603497028        9.8999999999974655        1.5778448973871064E-014   2.8156081589177586        4.0807475404431228     
   4.1000000610947609        9.8999999999974637        1.6330231218906659E-014   2.8195327510090480        4.1303753462581394     
   4.1500000618398190        9.8999999999974815        1.7597105030150620E-014   2.8232951475752781        4.1800120231011899     
   4.2000000625848770        9.8999999999974868        1.8802650233658034E-014   2.8269617817132340        4.2296572586573689     
   4.2500000633299351        9.8999999999975010        1.8683497510055528E-014   2.8305730624279390        4.2793107550520855     
   4.3000000640749931        9.8999999999975152        1.9289073705305738E-014   2.8341395471518771        4.3289722280288361     
   4.3500000648200512        9.8999999999975223        1.9040780456269387E-014   2.8376412156223005        4.3786414061823384     
   4.4000000655651093        9.8999999999975294        1.9455361844568579E-014   2.8410297740381405        4.4283180302427425     
   4.4500000663101673        9.8999999999975437        1.9989271181063767E-014   2.8442335862813479        4.4780018524069964     
   4.5000000670552254        9.8999999999975472        2.0022563853835041E-014   2.8471645904419125        4.5276926357138061     
   4.5500000678002834        9.8999999999975525        1.9354432478693496E-014   2.8497264279517069        4.5773901534589099     
   4.6000000685453415        9.8999999999975632        1.8988037853615859E-014   2.8518229860801276        4.6270941886476820     
   4.6500000692903996        9.8999999999975614        1.8970164945075489E-014   2.8533666163162437        4.6768045334823132     
   4.7000000700354576        9.8999999999975703        1.7845223054593267E-014   2.8542854172758059        4.7265209888810720     
   4.7500000707805157        9.8999999999975685        1.6641780546208257E-014   2.8545291332992120        4.7762433640273088     
   4.8000000715255737        9.8999999999975650        1.6785815162092434E-014   2.8540733901307291        4.8259714759461136     
   4.8500000722706318        9.8999999999975543        1.5159380484918642E-014   2.8529221414737029        4.8757051491066532     
   4.9000000730156898        9.8999999999975543        1.3217541539385337E-014   2.8511083187635666        4.9254442150484019     
   4.9500000737607479        9.8999999999975454        1.1642622892710257E-014   2.8486927615818667        4.9751885120296109     
   5.0000000745058060        9.8999999999975383        1.0920347118167015E-014   2.8457615762791533        5.0249378846964934     
